nomformation;nb_chars;coefficient_au_sud;departement_code;proportion_candidates;proportion_bien_tb
Année préparatoire, Ecole Universitaire de premier cycle - Campus d'Orsay Université Paris-Saclay;18;0.26910024870418137;91;0.54991539763113367174;0.620253164556962
Année préparatoire, Facultés libres de l'Ouest - UCO ANGERS;18;0.4201822281105458;49;0.20833333333333333333;0
Année préparatoire, Facultés libres de l'Ouest - UCO ANGERS;18;0.4201822281105458;49;0.55719557195571955720;0.10810810810810811
Année préparatoire, ICP - Antenne de Reims;18;0.21099179508634905;51;0.65625000000000000000;0
Année préparatoire, Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences;18;0.048288124956418814;59;0.31250000000000000000;0.16666666666666666
Année préparatoire, Institut Catholique de Lille-Faculté de Gestion, Economie et Sciences;18;0.048288124956418814;59;0.64814814814814814815;0.3
Année préparatoire, Institut Catholique Paris;18;0.25747855798061553;75;0.56194690265486725664;0.6521739130434783
Année préparatoire, Institut Catholique Paris;18;0.25747855798061553;75;0.72033898305084745763;0.2857142857142857
Année préparatoire, Institut Catholique Paris;18;0.25747855798061553;75;0.75000000000000000000;0.2857142857142857
Année préparatoire, Institution Notre-Dame Saint-Jean - LYCEE;18;0.44342560955767824;25;0.70000000000000000000;0.14285714285714285
Année préparatoire, Institut Limayrac;18;0.8734281663296375;31;0.65284974093264248705;0.18181818181818182
Année préparatoire, Iut De Troyes;18;0.32720870232201366;10;0.38613861386138613861;0.0625
Année préparatoire, Lycée Frédéric Mistral;18;0.8269414034353718;84;0.61167512690355329949;0.92
Année préparatoire, Lycée Henri Poincaré;18;0.280721939427748;54;0.38223140495867768595;0.42857142857142855
Année préparatoire, Lycée Jean-Paul II;18;0.18774841363921663;76;0.50000000000000000000;0.1
Année préparatoire, Lycée NEOSUP Ecole Maso;18;0.9780233828417354;66;0.60897435897435897436;0
Année préparatoire, Lycée Pre De Cordy;18;0.7223461869232739;24;0.36386138613861386139;0.16666666666666666
Année préparatoire, Lycée Rive Gauche;18;0.8734281663296375;31;0.60693641618497109827;0.7714285714285715
Année préparatoire, Lycée Robert Doisneau;18;0.280721939427748;91;0.33582089552238805970;0.42857142857142855
Année préparatoire, Lycée Saint Stanislas;18;0.8385630941589385;30;0.52482269503546099291;0.4166666666666667
Année préparatoire, Lycée Thiers;18;0.9082932385003365;13;0.58695652173913043478;0.7916666666666666
Année préparatoire, Université Angers;18;0.4201822281105458;49;0.47101449275362318841;0.6
Année préparatoire, Université Angers;18;0.4201822281105458;49;0.52123552123552123552;0.2727272727272727
Année préparatoire, Université Clermont Auvergne;18;0.6177509704111751;63;0.61757719714964370546;0.1111111111111111
Année préparatoire, Université de Pau et des Pays de l'Adour;18;0.8966715477767707;64;0.61224489795918367347;0.2631578947368421
Année préparatoire, Université Sorbonne Paris Nord - Antenne de Bobigny;18;0.24585686725704892;93;0.73170731707317073171;0.38
Année préparatoire, Université Toulouse 1 Capitole;18;0.8618064756060708;31;0.44563552833078101072;0.30612244897959184
Année préparatoire, Université Toulouse 2 Jean Jaurès;18;0.8734281663296375;31;0.71626297577854671280;0.1
BPJEPS, Association Forme de Beauvais;6;0.18774841363921663;60;0.18750000000000000000;0
BPJEPS, Association Forme de Compiègne;6;0.19937010436278327;60;0.00000000000000000000;0
BPJEPS, Association Forme de Compiègne;6;0.19937010436278327;60;0.06896551724137931034;0
BPJEPS, Association Forme de Compiègne;6;0.19937010436278327;60;0.25000000000000000000;0
BPJEPS, Association pour le Développement Professionnel des Sportifs - ADPS;6;0.6177509704111751;63;0.12048192771084337349;0
BPJEPS, Association pour le Développement Professionnel des Sportifs - ADPS;6;0.6177509704111751;63;0.25000000000000000000;0
BPJEPS, CAP'FORMATION SPORT - Colomiers;6;0.8618064756060708;31;0.10909090909090909091;0
BPJEPS, CAP'FORMATION SPORT - Graulhet;6;0.8501847848825043;81;0.14634146341463414634;0
BPJEPS, CAP'FORMATION SPORT - Graulhet;6;0.8501847848825043;81;0.18181818181818181818;0
BPJEPS, CAP'FORMATIONS SPORT - L'Isle-Jourdain;6;0.8618064756060708;32;0.07692307692307692308;0
BPJEPS, CAP'FORMATIONS SPORT - L'Isle-Jourdain;6;0.8618064756060708;32;0.15384615384615384615;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Antilles-Guyane (CREPS);6;4.04614973386328;971;0.26923076923076923077;0.2
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);6;0.7339678776468397;33;0.24324324324324324324;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);6;0.7339678776468397;33;0.24511545293072824156;0.3333333333333333
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);6;0.7339678776468397;33;0.25364431486880466472;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);6;0.7339678776468397;33;0.32954545454545454545;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);6;0.8501847848825043;33;0.24215246636771300448;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS);6;0.8501847848825043;33;0.32142857142857142857;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive - CREPS DE VICHY AUVERGNE;6;0.5712642075169094;3;0.22535211267605633803;0
BPJEPS, Centre de Ressources, d'Expertise et de Performance Sportive - CREPS DE VICHY AUVERGNE;6;0.5712642075169094;3;0.25842696629213483146;0
